,TYT.L,ULVR.L,BP-A.L,BP-B.L,RDSA.L,AZN.L,RDSB.L,BHP.L,HSBA.L,GSK.L
2019-01-01,6555.28125,3740.025390625,127.41464233398438,144.8697509765625,2108.62890625,5200.5927734375,2112.005126953125,1536.5458984375,576.9810791015625,1337.4439697265625
2019-02-01,6489.38916015625,3762.083984375,133.39718627929688,149.90658569335938,2097.47021484375,5771.2294921875,2108.438232421875,1688.1214599609375,553.5009155273438,1355.7332763671875
2019-03-01,6519.17626953125,4158.14208984375,137.1026611328125,152.6912384033203,2186.622314453125,5905.4482421875,2196.76953125,1787.3204345703125,577.1808471679688,1467.1678466796875
2019-03-31,6923.779296875,4406.49462890625,138.02903747558594,156.8682098388672,2219.691162109375,5511.75146484375,2229.793212890625,1763.1246337890625,617.739990234375,1445.66748046875
2019-04-30,6436.24267578125,4576.32080078125,138.02903747558594,158.72463989257812,2253.212890625,5614.74755859375,2237.935791015625,1738.958984375,597.3678588867188,1403.0343017578125
2019-05-31,6584.5478515625,4666.46142578125,138.9553985595703,159.18873596191406,2365.391357421875,6197.11083984375,2369.883544921875,1963.4664306640625,615.567626953125,1466.77490234375
2019-06-30,6988.93408203125,4724.619140625,136.17628479003906,155.9399871826172,2385.16015625,6796.7998046875,2389.625,1933.4541015625,615.3801879882812,1583.998046875
2019-07-31,6866.71484375,4953.91357421875,139.8817596435547,159.630859375,2092.30224609375,7044.18359375,2079.7314453125,1727.655517578125,554.1889038085938,1592.37109375
2019-08-31,7270.23291015625,4697.73974609375,145.1154327392578,161.53121948242188,2228.191650390625,7060.5966796875,2236.460693359375,1688.093994140625,593.2135009765625,1641.8875732421875
2019-09-30,7507.31005859375,4440.7568359375,148.44595336914062,162.95651245117188,2087.06005859375,7293.97314453125,2070.313232421875,1611.0069580078125,553.7039794921875,1664.4747314453125
2019-11-01,7638.0,4432.076171875,151.77645874023438,164.3817901611328,2066.498046875,7252.15966796875,2043.710693359375,1685.1123046875,554.4940185546875,1650.7342529296875
2019-12-01,7724.81005859375,4211.82763671875,152.25225830078125,165.33197021484375,2121.376708984375,7397.04736328125,2123.007080078125,1750.940185546875,569.5037841796875,1692.7529296875
